n, t, workers, frac, accesses, time
9, 1000, 1, 0, 1, 3.247497742064297
9, 1000, 2, 0, 1, 1.6117392033338547
9, 1000, 4, 0, 1, 0.8721217513084412
9, 1000, 8, 0, 1, 0.5224752342328429
9, 1000, 15, 0, 1, 0.5321651427075267
9, 2000, 1, 0, 1, 5.908706961199641
9, 2000, 2, 0, 1, 2.900245360098779
9, 2000, 4, 0, 1, 1.5153443040326238
9, 2000, 8, 0, 1, 0.8276939885690808
9, 2000, 15, 0, 1, 0.5227431552484632
9, 4000, 1, 0, 1, 10.85065983608365
9, 4000, 2, 0, 1, 5.490632997825742
9, 4000, 4, 0, 1, 2.8003925755620003
9, 4000, 8, 0, 1, 1.464659390039742
9, 4000, 15, 0, 1, 0.8498471118509769
9, 8000, 1, 0, 1, 21.3698497004807
9, 8000, 2, 0, 1, 10.63794712536037
9, 8000, 4, 0, 1, 5.380531965754926
9, 8000, 8, 0, 1, 2.7504682447761297
9, 8000, 15, 0, 1, 1.5314286639913917
9, 16000, 1, 0, 1, 41.7772336518392
9, 16000, 2, 0, 1, 20.927559155970812
9, 16000, 4, 0, 1, 10.544676534831524
9, 16000, 8, 0, 1, 5.317739970982075
9, 16000, 15, 0, 1, 2.9110453920438886
9, 32000, 1, 0, 1, 83.04707116819918
9, 32000, 2, 0, 1, 41.50679527036846
9, 32000, 4, 0, 1, 20.802180808968842
9, 32000, 8, 0, 1, 10.488507695496082
9, 32000, 15, 0, 1, 5.658016166649759
9, 64000, 1, 0, 1, 165.29483628366143
9, 64000, 2, 0, 1, 82.63345037028193
9, 64000, 4, 0, 1, 41.391781507991254
9, 64000, 8, 0, 1, 20.790324669331312
9, 64000, 15, 0, 1, 11.16833752952516
9, 1000, 1, 0, 5, 3.138036524876952
9, 1000, 2, 0, 5, 1.6447750460356474
9, 1000, 4, 0, 5, 0.9162401119247079
9, 1000, 8, 0, 5, 0.5978327700868249
9, 1000, 15, 0, 5, 0.6795292794704437
9, 2000, 1, 0, 5, 5.863862922415137
9, 2000, 2, 0, 5, 2.9116237852722406
9, 2000, 4, 0, 5, 1.5404284372925758
9, 2000, 8, 0, 5, 0.8565978156402707
9, 2000, 15, 0, 5, 0.6173984156921506
9, 4000, 1, 0, 5, 10.80276854056865
9, 4000, 2, 0, 5, 5.5269411420449615
9, 4000, 4, 0, 5, 2.823113759048283
9, 4000, 8, 0, 5, 1.4790203208103776
9, 4000, 15, 0, 5, 0.8974273288622499
9, 8000, 1, 0, 5, 21.1117623494938
