n, t, workers, frac, accesses, time
500, 1000, 1, 0, 1, 18.981282182969153
500, 1000, 2, 0, 1, 10.307052886113524
500, 1000, 4, 0, 1, 5.697479954920709
500, 1000, 8, 0, 1, 3.4946930734440684
500, 1000, 15, 0, 1, 3.5285823298618197
500, 2000, 1, 0, 1, 35.66073334868997
500, 2000, 2, 0, 1, 18.41221881005913
500, 2000, 4, 0, 1, 9.664719832129776
500, 2000, 8, 0, 1, 5.372654025442898
500, 2000, 15, 0, 1, 3.8476087925955653
500, 4000, 1, 0, 1, 69.29898566938937
500, 4000, 2, 0, 1, 34.42068803496659
500, 4000, 4, 0, 1, 17.658079179003835
500, 4000, 8, 0, 1, 9.297229489311576
500, 4000, 15, 0, 1, 5.557549805380404
500, 8000, 1, 0, 1, 132.7470571892336
500, 8000, 2, 0, 1, 66.44308689702302
500, 8000, 4, 0, 1, 33.696266278624535
500, 8000, 8, 0, 1, 17.284357419237494
500, 8000, 15, 0, 1, 9.700666286982596
500, 16000, 1, 0, 1, 259.4204269926995
500, 16000, 2, 0, 1, 130.46185317542404
500, 16000, 4, 0, 1, 65.67837493401021
500, 16000, 8, 0, 1, 33.30302164517343
500, 16000, 15, 0, 1, 18.241773790679872
500, 32000, 1, 0, 1, 515.7039528433233
500, 32000, 2, 0, 1, 258.5256044426933
500, 32000, 4, 0, 1, 129.64660513121635
500, 32000, 8, 0, 1, 65.33675875607878
500, 32000, 15, 0, 1, 35.26836220640689
500, 64000, 1, 0, 1, 1028.1045174179599
500, 64000, 2, 0, 1, 514.6112910173833
500, 64000, 4, 0, 1, 257.8293575644493
500, 64000, 8, 0, 1, 129.3812453560531
500, 64000, 15, 0, 1, 69.48733949661255
500, 1000, 1, 0, 5, 19.489271027967334
500, 1000, 2, 0, 5, 10.573206985369325
500, 1000, 4, 0, 5, 6.0347462091594934
500, 1000, 8, 0, 5, 3.8912613103166223
500, 1000, 15, 0, 5, 4.718662587925792
500, 2000, 1, 0, 5, 35.32282853405923
500, 2000, 2, 0, 5, 18.437766543589532
500, 2000, 4, 0, 5, 9.850995275191963
500, 2000, 8, 0, 5, 5.580455319024622
500, 2000, 15, 0, 5, 4.26876708958298
500, 4000, 1, 0, 5, 69.3529945248738
500, 4000, 2, 0, 5, 34.481860370375216
500, 4000, 4, 0, 5, 17.688197490759194
500, 4000, 8, 0, 5, 9.373169893398881
500, 4000, 15, 0, 5, 5.735626073554158
500, 8000, 1, 0, 5, 131.86213127709925
500, 8000, 2, 0, 5, 66.54567557107657
500, 8000, 4, 0, 5, 33.72019995003939
500, 8000, 8, 0, 5, 17.392475843429565
500, 8000, 15, 0, 5, 9.76390158943832
500, 16000, 1, 0, 5, 259.83385458867997
500, 16000, 2, 0, 5, 130.61444096639752
500, 16000, 4, 0, 5, 65.79070991463959
500, 16000, 8, 0, 5, 33.324322478845716
500, 16000, 15, 0, 5, 18.29590016975999
500, 32000, 1, 0, 5, 515.4453711556271
500, 32000, 2, 0, 5, 258.570977717638
500, 32000, 4, 0, 5, 129.80525120906532
500, 32000, 8, 0, 5, 65.36363800708205
500, 32000, 15, 0, 5, 35.32058245316148
500, 64000, 1, 0, 5, 1028.0442578867078
500, 64000, 2, 0, 5, 514.528485538438
500, 64000, 4, 0, 5, 257.8593972492963
500, 64000, 8, 0, 5, 129.4425305109471
500, 64000, 15, 0, 5, 69.5088368859142
500, 1000, 1, 0.0125, 1, 19.05108164716512
500, 1000, 2, 0.0125, 1, 10.30928354524076
