n, t, workers, frac, accesses, time
500, 1000, 1, 0, 1, 19.65215985197574
500, 1000, 2, 0, 1, 10.018606993369758
500, 1000, 4, 0, 1, 5.528933542780578
500, 1000, 8, 0, 1, 3.277118379250169
500, 1000, 15, 0, 1, 3.3079297794029117
500, 2000, 1, 0, 1, 35.038147281855345
500, 2000, 2, 0, 1, 17.981362254358828
500, 2000, 4, 0, 1, 9.434119254350662
500, 2000, 8, 0, 1, 5.179080855101347
500, 2000, 15, 0, 1, 3.5214519882574677
500, 4000, 1, 0, 1, 68.62206746917218
500, 4000, 2, 0, 1, 34.23291922546923
500, 4000, 4, 0, 1, 17.53963545244187
500, 4000, 8, 0, 1, 9.193110136315227
500, 4000, 15, 0, 1, 5.2916521821171045
500, 8000, 1, 0, 1, 132.87552298698574
500, 8000, 2, 0, 1, 66.2970838258043
500, 8000, 4, 0, 1, 33.56646356638521
500, 8000, 8, 0, 1, 17.210450789891183
500, 8000, 15, 0, 1, 9.568674455396831
500, 16000, 1, 0, 1, 260.05319029372185
500, 16000, 2, 0, 1, 130.44151452556252
500, 16000, 4, 0, 1, 65.52646801900119
500, 16000, 8, 0, 1, 33.17599516455084
500, 16000, 15, 0, 1, 18.084142702631652
500, 32000, 1, 0, 1, 515.7094914652407
500, 32000, 2, 0, 1, 258.42925319075584
500, 32000, 4, 0, 1, 129.5805385923013
500, 32000, 8, 0, 1, 65.22097127325833
500, 32000, 15, 0, 1, 35.15967667102814
500, 64000, 1, 0, 1, 1027.4300722964108
500, 64000, 2, 0, 1, 514.4763342989609
500, 64000, 4, 0, 1, 257.6067118784413
500, 64000, 8, 0, 1, 129.30088933371007
500, 64000, 15, 0, 1, 69.34772897325456
500, 1000, 1, 0, 5, 19.022574509494007
500, 1000, 2, 0, 5, 10.138068073429167
500, 1000, 4, 0, 5, 5.685382559895515
500, 1000, 8, 0, 5, 3.7227649185806513
500, 1000, 15, 0, 5, 4.132271811366081
500, 2000, 1, 0, 5, 36.782796178013086
500, 2000, 2, 0, 5, 18.124087282456458
500, 2000, 4, 0, 5, 9.658374386839569
500, 2000, 8, 0, 5, 5.351742793805897
500, 2000, 15, 0, 5, 4.101810347288847
500, 4000, 1, 0, 5, 67.40757200773805
500, 4000, 2, 0, 5, 34.25222263857722
500, 4000, 4, 0, 5, 17.487253434956074
500, 4000, 8, 0, 5, 9.25425120163709
500, 4000, 15, 0, 5, 5.591335575096309
500, 8000, 1, 0, 5, 131.40035437140614
500, 8000, 2, 0, 5, 66.45683421380818
500, 8000, 4, 0, 5, 33.557446705177426
500, 8000, 8, 0, 5, 17.17979633435607
500, 8000, 15, 0, 5, 9.631680684164166
500, 16000, 1, 0, 5, 259.5219949427992
500, 16000, 2, 0, 5, 130.44551979005337
500, 16000, 4, 0, 5, 65.5991940535605
500, 16000, 8, 0, 5, 33.23562952037901
500, 16000, 15, 0, 5, 18.13133815396577
500, 32000, 1, 0, 5, 515.7140783537179
500, 32000, 2, 0, 5, 258.4748032409698
500, 32000, 4, 0, 5, 129.63309609889984
500, 32000, 8, 0, 5, 65.24645789060742
500, 32000, 15, 0, 5, 35.165890499949455
500, 64000, 1, 0, 5, 1027.9091986035928
500, 64000, 2, 0, 5, 514.4751594401896
500, 64000, 4, 0, 5, 257.6912499535829
500, 64000, 8, 0, 5, 129.24530222732574
500, 64000, 15, 0, 5, 69.29812293313444
500, 1000, 1, 0.0125, 1, 18.940703778527677
500, 1000, 2, 0.0125, 1, 10.366962188854814
500, 1000, 4, 0.0125, 1, 5.644286532886326
